user_id,full_name,email,phone,nationality,dob,created_at
1,David Hassan,david.hassan760@gmail.com,+105826600539,Turkish,1983-04-08,2023-03-24
2,Mohammed Johansson,mohammed.johansson433@gmail.com,+518746412689,Tanzanian,1976-01-03,2023-04-08
3,Lucia Dlamini,lucia.dlamini666@gmail.com,+604398704996,Tanzanian,1997-09-14,2023-04-15
4,Mary Dlamini,mary.dlamini433@gmail.com,+345209747451,Nigerian,1985-05-05,2023-04-25
5,Mei Okonkwo,mei.okonkwo368@gmail.com,+45883543540,Indian,2002-06-20,2023-05-26
6,Elena Okonkwo,elena.okonkwo997@gmail.com,+644764130526,German,1987-02-18,2023-05-27
7,Lucia Dlamini,lucia.dlamini72@gmail.com,+876349957310,Ethiopian,1976-11-08,2023-05-03
8,Mei Garcia,mei.garcia465@gmail.com,+215819595113,Ugandan,1995-06-06,2023-06-12
9,Sarah Mensah,sarah.mensah651@gmail.com,+474507437181,Ugandan,1980-09-24,2023-04-06
10,Zara Nakamura,zara.nakamura333@gmail.com,+324530747414,Ugandan,2001-01-08,2023-01-26
11,Sarah Patel,sarah.patel936@gmail.com,+512524806516,Indian,1993-12-11,2023-04-21
12,James Garcia,james.garcia143@gmail.com,+765727694430,Dutch,1982-12-18,2023-09-09
13,Carlos Rossi,carlos.rossi225@gmail.com,+49217734861,South African,1979-09-16,2023-02-25
14,Mary Nkosi,mary.nkosi697@gmail.com,+611602564736,Emirati,1988-10-03,2023-07-13
15,Nadia Fernandez,nadia.fernandez882@gmail.com,+907676567501,Ugandan,1975-11-24,2023-02-22
16,Ibrahim Okonkwo,ibrahim.okonkwo301@gmail.com,+897872751234,Ugandan,1988-03-15,2023-01-24
17,Layla Kamau,layla.kamau183@gmail.com,+862786066793,Emirati,1991-02-28,2023-11-10
18,Lucia Sharma,lucia.sharma383@gmail.com,+614448059918,Qatari,1999-03-18,2023-09-01
19,Hassan Okonkwo,hassan.okonkwo952@gmail.com,+900709194872,Nigerian,1986-05-08,2023-01-08
20,Mohammed Abebe,mohammed.abebe498@gmail.com,+129237859287,Qatari,2001-02-25,2023-09-25
21,Mary Garcia,mary.garcia541@gmail.com,+774883757514,Ghanaian,2002-10-14,2023-04-18
22,Kwame Santos,kwame.santos688@gmail.com,+124366186631,Rwandan,1995-06-15,2023-09-15
23,Sarah Andersen,sarah.andersen22@gmail.com,+8176228245,Kenyan,1993-09-08,2023-10-08
24,Zara Ali,zara.ali928@gmail.com,+286818309417,Qatari,1976-06-03,2023-09-08
25,Peter Fernandez,peter.fernandez136@gmail.com,+804607850824,Dutch,1998-10-19,2023-08-08
26,Lucia Okonkwo,lucia.okonkwo100@gmail.com,+479882839238,Kenyan,1996-07-12,2023-07-14
27,Grace Mwanga,grace.mwanga413@gmail.com,+197304235259,Turkish,1998-06-26,2023-02-08
28,Yuki Sharma,yuki.sharma433@gmail.com,+946180943908,Indian,1980-05-15,2023-04-28
29,Grace Mwanga,grace.mwanga668@gmail.com,+417621453189,Qatari,1992-01-03,2023-04-06
30,Peter Boateng,peter.boateng411@gmail.com,+400384759615,Indian,2003-01-06,2023-07-01
31,Priya Osei,priya.osei714@gmail.com,+159303901283,Zambian,1998-09-22,2023-12-16
32,Peter Mwanga,peter.mwanga594@gmail.com,+59153839920,Singaporean,1998-09-02,2023-12-11
33,Nia Diallo,nia.diallo942@gmail.com,+83299528037,Nigerian,2002-09-06,2023-01-17
34,Sarah Nakamura,sarah.nakamura883@gmail.com,+593738360085,Kenyan,1982-07-04,2023-10-08
35,Mohammed Osei,mohammed.osei674@gmail.com,+210819112790,British,1993-10-17,2023-06-09
36,Samuel Garcia,samuel.garcia406@gmail.com,+324907308348,Nigerian,1979-11-21,2023-05-15
37,Amina Tanaka,amina.tanaka637@gmail.com,+519384756779,South African,1993-02-03,2023-09-07
38,Sofia Rashid,sofia.rashid71@gmail.com,+449995226828,Turkish,2003-04-12,2023-05-06
39,Kwame Mensah,kwame.mensah827@gmail.com,+568421455482,Ethiopian,1995-09-01,2023-11-27
40,Aisha Garcia,aisha.garcia119@gmail.com,+279402533494,American,2003-02-24,2023-09-05
41,Peter Dlamini,peter.dlamini352@gmail.com,+501369639388,Kenyan,1981-11-21,2023-05-17
42,Mohammed Ibrahim,mohammed.ibrahim434@gmail.com,+790240466536,Ugandan,2001-05-02,2023-01-11
43,Mary Abebe,mary.abebe453@gmail.com,+115180792472,South African,1992-12-14,2023-09-01
44,Elena Mwanga,elena.mwanga855@gmail.com,+131144913399,Zambian,1986-10-18,2023-03-14
45,Raj Rashid,raj.rashid956@gmail.com,+256816114302,Ethiopian,2000-01-12,2023-04-22
46,Sofia Kamau,sofia.kamau574@gmail.com,+948354194771,Egyptian,2003-07-20,2023-12-05
47,Ahmed Rashid,ahmed.rashid423@gmail.com,+954542073642,Rwandan,1975-03-24,2023-06-26
48,Omar Mueller,omar.mueller807@gmail.com,+482338836384,Ghanaian,1997-02-13,2023-01-28
49,Chidi Rossi,chidi.rossi313@gmail.com,+198527849588,British,2001-04-08,2023-01-22
50,Omar Boateng,omar.boateng72@gmail.com,+410829627019,Turkish,1999-05-12,2023-11-17
51,Ibrahim Hassan,ibrahim.hassan119@gmail.com,+40216396351,American,2003-05-06,2023-10-09
52,Daniel Rossi,daniel.rossi747@gmail.com,+119513600440,Singaporean,2000-06-14,2023-10-17
53,Lucia Garcia,lucia.garcia46@gmail.com,+552837507241,Ghanaian,1997-07-01,2023-09-26
54,Raj Osei,raj.osei72@gmail.com,+869233815413,Zambian,1996-06-20,2023-06-22
55,Layla Kim,layla.kim683@gmail.com,+568236674237,Ghanaian,1988-06-13,2023-12-10
56,Fatima Nakamura,fatima.nakamura963@gmail.com,+583423142470,French,1987-11-24,2023-03-20
57,Amina Kim,amina.kim294@gmail.com,+671446012478,Indian,1981-07-26,2023-10-20
58,Yuki Tanaka,yuki.tanaka692@gmail.com,+675191048514,Zambian,1981-09-16,2023-12-06
59,Layla Nakamura,layla.nakamura649@gmail.com,+318341206079,Ghanaian,1994-06-03,2023-04-22
60,James Hassan,james.hassan48@gmail.com,+425776205431,Singaporean,1982-08-20,2023-02-15
